darija_ar,eng,p1_transl,eng_p1_transl,p2_transl,eng_p2_transl,p3_transl,eng_p3_transl,p4_transl,eng_p4_transl,p5_transl,eng_p5_transl
تخيّلي,imaginative,Imaginative,Imaginative,Imaginary,Imaginative,Imagine,Imaginative,Imaginative,Imaginative,imaginative,imaginative
عجيب,bizarre,Weird,Amazing,Weird,Amazing,Amazing,Amazing,Amazing,Amazing,amazing,amazing
نهائي,eventual,Final,Final,Final,Final,Final,Final,Final,Final,final,final
مرتاجل,spontaneous,Confident,Respectable,Stubborn,Determined,Stubborn,Respectable,Resourceful,Respectful,reliable,brave
ماكايتصنّعش,spontaneous,Not manufactured.,Unreliable,Not manufactured,Unreliable,Unreliable,Unmanufactured,Unapologetic,Unpredictable,carefree,authentic
وزاري,ministerial,Ministerial,Ministerial,Ministerial,Ministerial,Ministerial,Ministerial,Ministerial,Ministerial,elegant,elegant
مبتكر,innovative,Innovative,Innovative,Innovative,Innovative,Innovative,Innovative,Innovative,Innovative,Innovative,innovative
مفاهيمي,conceptual,My concepts,Conceptual,My concept,Conceptual,My concepts,Conceptual,My concepts,My concepts,confused,understanding
مدني,civic,Civil,Civil,Civil,Urban,Civil,Civil,Civilized,Civil,polite,civilized
حيّ,vivid,Alive,Lively,Alive,Lively,Alive,Lively,Lively,Lively,Lively,alive
مخلص,faithful,Loyal,Sincere,Sincere,Sincere,Dedicated,Dedicated,Dedicated,Sincere,loyal,loyal
متوسّط,medium,Average,Average,Average,Average,Average,Average,Average,Average,average,average
تكميلي,supplementary,Complementary,Complementary,Complementary,Complementary,Complementary,Complementary,Resourceful,Complementary,stubborn,complementary
جيولوجي,geological,Geological,Geological,Geological,Geological,Geological,Geological,Geological,Geological,Geologist,geological
بنّاء,constructive,Skilled,Skillful,Builder,Skillful,Skilled,Skillful,Handy,Skilled,resourceful,creative
كايبني,constructive,Cool,Cute,Tired,Cute,Funny,Stunning,Sneaky,Cute,Sneaky,cute
ضروري,mandatory,Essential,Necessary,Essential,Essential,Essential,Essential,Ch7al: Essential,Essential,necessary,necessary
مشمّش,sunny,Apricot,Apricot,Apricot,Apricot,Apricot,Apricot,Juicy,Delicious,delicious,delicious
تعاوني,cooperative,Cooperative,Cooperative,Cooperative,Cooperative,Cooperative,Cooperative,Cooperative,Cooperative,helpful,cooperative
سلوكي,behavioral,My behavior,Behavioral,My behavior,Behavioral,My behavior,Behavioral,My behavior,Polite,polite,polite
ماباغيش,unwilling,Not interested,Reluctant,I don't want.,Reluctant,Unwilling,Reluctant,Reluctant,Reluctant,unwilling,reluctant
صحيح,vigorous,Correct,True,Correct,Correct,Correct,True,Correct,Correct,correct,correct
ختياري,optional,Optional,Optional,Optional,Optional,Choosy,Delicious,Sassy,Delicious,picky,stubborn
أصلي,indigenous,Authentic,Original,Authentic,Authentic,Authentic,Authentic,Authentic,Authentic,honest,honest
ماناجحش,unsuccessful,Unsuccessful,Unsuccessful,I'm not successful.,Unsuccessful,I'm not successful.,Unsuccessful,Unlucky,Unsuccessful,clumsy,unsuccessful
مامأدّبش,rude,Rude,Rude,Rude,Rude,Rude,Rude,Messy,Rude,unruly,unruly
مامربّيش,rude,Stubborn,Unruly,Stubborn,Neglectful,Stubborn,Stubborn,Stubborn,Stubborn,carefree,careless
بورجوازي,bourgeois,Bourgeois,Bourgeois,Bourgeois,Bourgeois,Bourgeois,Bourgeois,Bourgeois,Bourgeois,bourgeois,bourgeois
علماني,secular,Secular,Secular,Secular,Secular,Secular,Secular,Secular,Secular,Secular,secular
ممتع,enjoyable,Enjoyable,Enjoyable,Fun,Enjoyable,Fun,Enjoyable,Entertaining,Enjoyable,enjoyable,enjoyable
مؤقّت,provisional,Temporary,Temporary,Temporary,Temporary,Temporary,Temporary,Temporary,Temporary,temporary,temporary
مساهم,instrumental,Contributor,Contributory,Contributor,Contributory,Generous,Generous,Contributor,Generous,generous,helpful
أخير,terminal,Last,Late,Last,Late,Finally,Late,Stubborn,Late,brave,late
نهائي,terminal,Final,Final,Final,Final,Final,Final,Final,Final,final,final
عملي,handy,Practical,Practical,My work,Practical,My job,Practical,Hardworking,Practical,practical,practical
مكتّف,dense,Satisfied,Satisfied,Content,Satisfied,Satisfied,Satisfied,Content,Satisfied,Satisfied,satisfied
فوتوغرافي,photographic,Photographic,Photographic,Photographer,Photographic,Photographic,Photographic,Photogenic,Photographic,photographic,photogenic
متحمّس,passionate,Excited,Excited,Excited,Excited,Excited,Excited,Excited,Excited,excited,excited
محدود,restrictive,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,limited,limited
وحيد,lone,Lonely,Lonely,Alone,Lonely,Alone,Lonely,Solitary,Lonely,solitary,lonely
داخلي,indoor,Internal,Internal,Internal,Internal,Interior,Internal,Shy,Internal,introverted,introverted
متوتّر,tense,Stressed,Tense,Stressed,Tense,Tense,Tense,Stressed,Tense,Stressed,stressed
بلكونطرا,contractual,Balcony,Balcony-like,Balcony,Confident,Balcony,Balcony-style,Resourceful,Confident,Sneaky,stubborn
تعاقدي,contractual,Contractual,Contractual,Contractual,Contractual,Stubborn,Contractual,Stubborn,Contractual,stubborn,stubborn
فتراضي,virtual,Default,Virtual,Default,Default,Default,Satisfactory,Default,Generous,Generous,stubborn
خطير,grave,Dangerous,Dangerous,Dangerous,Dangerous,Dangerous,Dangerous,Dangerous,Dangerous,dangerous,dangerous
أتري,archaeological,Cool,Tall,Single,Bitter,Cool,Beautiful,Chill,Generous,Clever,beautiful
باين,trivial,Obvious,Visible,Obvious,Visible,Visible,Obvious,Visible,Obvious,obvious,obvious
كايهزّ,portable,Shy,Shaky,Shaky,Shaky,Shaky,Shaky,Shaky,Shaky,annoying,shaky
تفاعلي,interactive,Interactive,Interactive,Interactive,Interactive,Interactive,Interactive,Interactive,Interactive,interactive,interactive
وحشي,vicious,Savage,Savage,Savage,Savage,Savage,Savage,Savage,Wild,brutal,savage
شكلي,nominal,My appearance,My appearance,My appearance,My appearance,My appearance.,My appearance,Appearance,Attractive,handsome,handsome
ماكاتّنساش,memorable,Stubborn,Unimpressed,Stubborn,Unimpressed,Unbothered,Unimpressed,Unbothered,Unimpressed,stubborn,unforgettable
كائب,bleak,Stubborn,Angry,Stubborn,Tired,Stubborn,Tired,Stubborn,Happy,stubborn,stubborn
تحتاني,inferior,Shy,Lower,Underneath,Lower,Shy,Submissive,Shy,Submissive,stubborn,humble
تلمصارن,intestinal,Stubborn,Talented,Talmissarn,Stubborn,Stubborn,Stubborn,Resourceful,Stubborn,mischievous,stubborn
مكمّل,complementary,Complementary,Complete,Complementary,Completing,Complement,Complementary,Determined,Complementary,loyal,loyal
موهوب,talented,Talented,Talented,Talented,Talented,Talented,Talented,Talented,Talented,talented,talented
أبدي,eternal,Expressive,Eternal,Energetic,Eternal,Cool,Eternal,Cool,Eternal,eternal,eternal
جسدي,bodily,Physical,Physical,Physical,Physical,Physical,Physical,Physical,Physical,physical,physical
سحري,magical,Magical,Magical,Magical,Magical,Magical,Magical,Magical,Magical,magical,mysterious
مفهوم,understandable,Understood,Understood,Understood,Understood,Understood,Understood,Sharp,Understood,understanding,understandable
باين,noticeable,Obvious,Visible,Obvious,Visible,Visible,Obvious,Visible,Clear,obvious,obvious
ماواضحش,ambiguous,Unclear,Unclear,Not clear,Unclear,Unclear,Unclear,Unclear,Unclear,unclear,unclear
أصلي,authentic,Authentic,Original,Authentic,Authentic,Authentic,Authentic,Authentic,Authentic,honest,authentic
ممكنة,feasible,Possible,Possible,Possible,Possible,Possible,Possible,"""زوين""",Possible,possible,possible
ماڭادّش,incapable,Stubborn,Stingy,Stubborn,Stubborn,Stubborn,Stunning,Stubborn,Unforgettable,stubborn,stubborn
ماقادرش,incapable,Incapable,Unable,Incapable,Unable,Incapable,Unable,Incapable,Unable,helpless,unable
كوميك,comic,Funny,Comic,Comic,Comic,Funny,Funny,Hilarious,Funny,funny,funny
مضحك,comic,Funny,Funny,Funny,Funny,Funny,Funny,Funny,Funny,funny,funny
كوميدي,comic,Funny,Funny,Funny,Funny,Funny,Funny,Funny,Funny,funny,funny
ستعماري,colonial,Colonial,Colonial,Colonial,Colonial,Colonial,Colonial,Resourceful,Colonial,Generous,colonial
منعازل,solitary,Isolated,Isolated,Isolated,Isolated,Isolated,Isolated,Isolated,Isolated,isolated,isolated
عبتي,vain,Cute,Beautiful,Beautiful,Stubborn,Crazy,Beloved,Sassy,Beautiful,Clever,stubborn
مضرّ,harmful,Harmful,Harmful,Harmful,Harmful,Harmful,Harmful,Stubborn,Harmful,harmful,harmful
غامض,obscure,Mysterious,Mysterious,Mysterious,Mysterious,Mysterious,Mysterious,Mysterious,Mysterious,mysterious,mysterious
خاوي,vacant,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,empty,empty
شياطة,surplus,Naughty,Naughty,Devilish,Naughty,Naughty,Naughty,Crafty,Naughty,Mischievous,naughty
كايتلصّق,sticky,Sticky,Sticky,Sticky,Sticky,Sticky,Sticky,Sneaky,Sticky,clingy,clingy
خفيف,swift,Light,Light,Light,Light,Light,Light,Light,Light,Light,light
سريع,swift,Fast,Fast,Fast,Fast,Fast,Fast,Fast,Fast,fast,fast
مصغّرة,miniature,Tiny,Small,Miniature,Small,Tiny,Tiny,Tiny,Small,Tiny,small
بزّاف,ample,A lot,A lot,Many,Many,A lot,A lot,A lot,Many,a lot,a lot
طبيعي,normal,Normal,Natural,Normal,Natural,Natural,Natural,Natural,Natural,normal,natural
عرفي,customary,Cool,Knowledgeable,Single,Knowledgeable,Cool,Familiar,Sassy,Proud,smart,smart
كايضرّ,sore,Stubborn,Harmful,Stubborn,Harmful,Stubborn,Harmful,Stubborn,Harmful,annoying,harmful
مشعّ,radioactive,Radiant,Radiant,Radiant,Radiant,Radiant,Radiant,Radiant,Radiant,charming,charming
كايقتل,deadly,Killer,Killing,Killer,Killing,Killer,Killing,Savage,Stunning,annoying,hilarious
مقبول,plausible,Acceptable,Accepted,Acceptable,Accepted,Acceptable,Accepted,Accepted,Accepted,acceptable,acceptable
قابل,prone,Friendly,Capable,Single,Adaptable,Friendly,Adaptable,Chill,Capable,flexible,capable
جتماعي,sociological,Sociable,Social,Social,Social,Sociable,Social,Social,Social,sociable,sociable
ماڭادّش,helpless,Stubborn,Beautiful,Stubborn,Stunning,Stubborn,Stubborn,Stubborn,Stubborn,stubborn,confused
مامعروفش,unfamiliar,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,mysterious,unknown
جراحي,surgical,Surgical,Surgical,Surgical,Surgical,Surgical,Surgical,Skilled,Surgical,loyal,surgical
معاون,supportive,Helpful,Helpful,Helpful,Helpful,Helpful,Helpful,Helpful,Helpful,helpful,helpful
مؤنث,feminine,Feminine,Feminine,Feminine,Feminine,Feminine,Feminine,Feminine,Feminine,Feminine,feminine
كايفرشخ,destructive,Cool,Noisy,Stubborn,Noisy,Sneaky,Noisy,Sassy,Confident,nosy,annoying
كيوالو,petty,Cool,Cute,Cool,Crazy,Cool,Beautiful,Chatty,Beautiful,talkative,cute
تنائي,bilateral,Dual,Lonely,Dual,Lonely,Dual,Unique,Dynamic,Unique,unique,lonely
باغي,would-be,Wanting,Wanting,Wanting,Wanting,Wanted,Wanting,Wanted,Wanting,wanting,wanting
ناتج,consequent,Cool,Productive,Single,Resultant,Clever,Talented,Sharp,Clever,smart,clever
قوي,potent,Strong,Strong,Strong,Strong,Strong,Strong,Strong,Strong,strong,strong
واعر,potent,Charming,Conscious,Charming,Aware,Knowledgeable,Aware,Charming,Generous,brave,handsome
صحيح,potent,Correct,Correct,Correct,Correct,Correct,Correct,Authentic,Correct,correct,correct
فاسد,rotten,Corrupt,Rotten,Corrupt,Rotten,Corrupt,Rotten,Corrupt,Rotten,corrupt,corrupt
معفون,rotten,Forgiving,Infected,Immune,Infected,Immune,Contagious,Contagious,Infected,confused,infected
واقعي,factual,Realistic,Realistic,Realistic,Realistic,Realistic,Realistic,Realistic,Realistic,Realistic,realistic
عملي,pragmatic,Practical,Practical,My work,Practical,My job,Practical,Hardworking,Practical,practical,practical
پراڭماتي,pragmatic,Programmatic,Programmatic,Programmatic,Programmatic,Charismatic,Programmatic,Sassy,Pragmatic,charismatic,systematic
مرضي,satisfactory,Sick,Satisfactory,Sick,Satisfactory,Sick,Satisfactory,Sick,Satisfactory,satisfied,satisfied
مهني,occupational,Professional,Professional,Professional,Professional,Professional,Professional,Professional,Professional,professional,skilled
مرن,flexible,Flexible,Flexible,Flexible,Flexible,Flexible,Flexible,Flexible,Flexible,flexible,flexible
مشهور,prominent,Famous,Famous,Famous,Famous,Famous,Famous,Famous,Famous,famous,famous
معارض,reluctant,Opposing,Opposing,Opponent,Opposing,Opponent,Opposing,Rebellious,Opposing,defiant,oppositional
مجرّد,abstract,Just,Simple,Simple,Simple,Simple,Simple,Simple,Simple,simple,simple
لائق,decent,Appropriate,Suitable,Appropriate,Suitable,Decent,Suitable,Decent,Suitable,appropriate,appropriate
جاي,forthcoming,Cool,Coming,Coming,Coming,Coming,Coming,Cool,Coming,cool,cool
منحادر,steep,Unique,Steep,Unique,Steep,Unique,Steep,Resourceful,Steep,generous,brave
كايتطبّق,applicable,Applying,Applied,Applied,Applied,Applying,Applied,Resourceful,Applied,hardworking,stubborn
كسول,passive,Lazy,Lazy,Lazy,Lazy,Lazy,Lazy,Lazy,Lazy,lazy,lazy
قبيح,grim,Ugly,Ugly,Ugly,Ugly,Ugly,Ugly,Ugly,Ugly,ugly,ugly
شهب,blond,Stylish,Brave,Shahba,Stylish,Wild,Wild,Flashy,Brave,fiery,brave
دروكا,imminent,Cool,Strict,Cool,Strict,Crazy,Strict,Savage,Clever,Sneaky,crazy
ضعيف,vulnerable,Weak,Weak,Weak,Weak,Weak,Weak,Weak,Weak,weak,weak
موبرزيط,rowdy,Cool,Awesome,Unpopular,Awesome,Awesome,Awesome,Resourceful,Confident,awesome,awesome
فرّاع,talkative,Stubborn,Stubborn,Stubborn,Stubborn,Sneaky,Stubborn,Sneaky,Generous,Sneaky,generous
موهجّيج,rowdy,Shiny,Shiny,Bright,Shiny,Shiny,Shiny,Glowy,Shiny,excited,confused
موعنفيج,rowdy,Violent,Beautiful,Violent,Stunning,Stubborn,Stunning,Stubborn,Confused,charming,confused
مسبيطر,crazy,Dominant,Dominant,Dominant,Dominant,Dominant,Dominant,Dominant,Dominant,dominant,dominant
محشّش,drugged,Confused,Confused,High,High,Silly,Confused,Clueless,Confused,silly,confused
موخلويض,deceitful,Ungrateful,Stubborn,Stubborn,Ungrateful,Stubborn,Outstanding,Resourceful,Confused,confused,confused
حرايفي,skilled,Generous,My clothes are new.,Generous,Stubborn,My friend,My shoes,Resourceful,Generous,loyal,nosy
حرايفي,adroit,Generous,Generous,Generous,Stubborn,My friend,My clothes are colorful.,"My task is to translate the Moroccan Darija adjective ""حرايفي"" into a single English adjective.",Generous,loyal,nosy
ماواضحش,unclear,Unclear,Unclear,Not clear,Unclear,Unclear,Unclear,Obscure,Unclear,unclear,unclear
هامشي,peripheral,Marginal,Rural,Marginal,Marginal,Marginal,Marginal,Peripheral,Rural,Carefree,careless
متوقّع,predictable,Expected,Expected,Expected,Expected,Expected,Expected,Anticipated,Expected,predictable,expected
هجومي,offensive,My attacky,Aggressive,My attack,Aggressive,My attacky,Aggressive,Feisty,Aggressive,aggressive,aggressive
متناقض,absurd,Contradictory,Contradictory,Contradictory,Contradictory,Contradictory,Contradictory,Contradictory,Contradictory,contradictory,contradictory
موسمي,seasonal,Seasonal,Seasonal,Seasonal,Seasonal,Seasonal,Seasonal,Seasonal,Seasonal,seasonal,seasonal
جبّار,mighty,Stubborn,Arrogant,Proud,Arrogant,Brave,Arrogant,Stubborn,Proud,brave,brave
مروّن,uneasy,Flexible,Flexible,Flexible,Flexible,Flexible,Flexible,Flexible,Flexible,flexible,flexible
بصري,optical,Visual,Visual,Visual,Visual,Myopic,Visual,Sharp,Visual,Handsome,visual
لانهائي,infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,Infinite,infinite,infinite
مديكوري,decorative,Stylish,Decorated,Decorated,Decorative,Stylish,Mediocre,Stylish,Generous,Generous,decorative
كمّي,quantitative,Quantitative,Generous,Quantitative,How many,Generous,Generous,Generous,Generous,generous,generous
متناسب,proportional,Proportional,Proportional,Proportional,Proportional,Proportional,Proportional,Proportional,Proportional,proportional,proportional
بيروقراطي,bureaucratic,Bureaucratic,Bureaucratic,Bureaucratic,Bureaucratic,Bureaucratic,Bureaucratic,Bureaucratic,Bureaucratic,bureaucratic,bureaucratic
كايغير,jealous,Stubborn,Changing,Unique,Changing,Stubborn,Changing,Sassy,Changing,mysterious,changing
خيالي,fancy,Fantastic,Fantastic,Imaginary,Fantastic,Fantastic,Fantastic,Fantastic,Fantastic,fantastic,fantastic
مغيار,jealous,Rebellious,Adventurous,Rebellious,Adaptable,Rebellious,Adaptable,Resourceful,Adventurous,Sneaky,mysterious
لديد,delicious,I have a new one.,New,Single,New,Cheerful,New,Stubborn,Sharp,smart,brave
باين,obvious,Obvious,Visible,Visible,Visible,Visible,Obvious,Visible,Clear,obvious,obvious
مفتوح,open,Open,Open,Open,Open,Open,Open,Open,Open,open,open
ساد,closed,Serious,Simple,Serious,Simple,Tough,Simple,Tough,Simple,serious,simple
مسدود,closed,Blocked,Blocked,Blocked,Blocked,Blocked,Blocked,Blocked,Blocked,blocked,blocked
محلول,open,Solved,Dissolved,Solved,Dissolved,Solved,Solved,Slick,Solved,Solved,solved
غالط,wrong,Wrong,Wrong,Wrong,Wrong,Wrong,Wrong,Mischievous,Wrong,mischievous,mistaken
مبدّل,different,Switcher,Transformer,Transformer,Transformer,Transformer,Transformer,Resourceful,Transformer,Clever,versatile
صحيح,strong,Correct,True,Correct,Correct,Correct,Correct,Authentic,Correct,Correct,correct
مريڭل,cunning,Cool,Beautiful,Energetic,Beautiful,Cool,Elegant,Sassy,Beautiful,Charming,crazy
دايخ,dizzy,Drunk,Drunk,Drunk,Dizzy,Tipsy,Tipsy,Tipsy,Tipsy,confused,dizzy
مدوّخ,dizzy,Dizzy,Dizzy,Dizzy,Dizzy,Confused,Dizzy,Dizzy,Confused,confused,confused
مبرّر,justified,Justified,Justified,Justified,Justified,Justified,Justified,Justify,Justified,justified,justified
مرتابط,engaged,Interconnected,Connected,Interconnected,Connected,Interconnected,Interconnected,Interconnected,Connected,connected,connected
ملهم,inspiring,Inspiring,Inspiring,Inspiring,Inspiring,Inspiring,Inspirational,Inspirational,Inspiring,inspiring,inspiring
مشتّت,sparse,Distracted,Distracted,Distracted,Distracted,Distracted,Distracted,Distracted,Distracted,distracted,distracted
عضيم,mighty,Great,Great,Great,Huge,Great,Huge,Awesome,Great,awesome,huge
زايد,extra,Excessive,Excessive,Excessive,Excessive,Excessive,Excessive,Extra,Excessive,extra,excessive
خارق,miraculous,Incredible,Extraordinary,Supernatural,Extraordinary,Extraordinary,Extraordinary,Outstanding,Outstanding,extraordinary,amazing
استثنائي,exceptional,Exceptional,Exceptional,Exceptional,Exceptional,Exceptional,Exceptional,Exceptional,Exceptional,exceptional,exceptional
فرانساوي,french,French,French,French,French,French,French,French,French,French,French
سبليوني,spanish,Stubborn,Sly,Stubborn,Sly,Stubborn,Stubborn,Silly,Stubborn,stubborn,stubborn
ميريكاني,american,American,American,American,American,American,American,American,American,American,American
شينوي,chinese,Shiny,Beautiful,Ugly,Beautiful,Sneaky,Beautiful,Crafty,Beautiful,Sneaky,beautiful
مخبّي,hidden,Sneaky,Hidden,Hidden,Hidden,Sneaky,Hidden,Sneaky,Hidden,sneaky,hidden
متيقّن,sure,Confident,Certain,Confident,Certain,Confident,Confident,Confident,Confident,confident,confident
